gene	priority_rank	n_core_shown	n_regional_shown	png	pdf
fscn1a	101	1	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank101_fscn1a_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank101_fscn1a_core_regional.pdf
mycn	102	3	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank102_mycn_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank102_mycn_core_regional.pdf
ndr2	103	0	3	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank103_ndr2_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank103_ndr2_core_regional.pdf
olig4	104	0	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank104_olig4_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank104_olig4_core_regional.pdf
stox1	105	0	3	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank105_stox1_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank105_stox1_core_regional.pdf
tcf3b	106	1	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank106_tcf3b_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank106_tcf3b_core_regional.pdf
dact2	107	1	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank107_dact2_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank107_dact2_core_regional.pdf
dmd	108	0	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank108_dmd_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank108_dmd_core_regional.pdf
foxi1	109	0	3	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank109_foxi1_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank109_foxi1_core_regional.pdf
bmp4	110	1	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank110_bmp4_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank110_bmp4_core_regional.pdf
efna1a	111	0	3	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank111_efna1a_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank111_efna1a_core_regional.pdf
zswim5	112	1	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank112_zswim5_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank112_zswim5_core_regional.pdf
myclb	113	2	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank113_myclb_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank113_myclb_core_regional.pdf
klf3	114	0	3	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank114_klf3_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank114_klf3_core_regional.pdf
her9	115	3	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank115_her9_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank115_her9_core_regional.pdf
etv5a	116	0	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank116_etv5a_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank116_etv5a_core_regional.pdf
sox3	117	3	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank117_sox3_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank117_sox3_core_regional.pdf
akap12b	118	0	2	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank118_akap12b_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank118_akap12b_core_regional.pdf
cdx4	119	3	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank119_cdx4_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank119_cdx4_core_regional.pdf
lbx2	120	3	1	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank120_lbx2_core_regional.png	results/zebrafish/complexity_gene_enhancer_figures_rank101_120_v1/rank120_lbx2_core_regional.pdf
